Outcome (or Indicator),Group,Percentage,Confidence Interval,Title,Description,Year
Two or more hospital emergency department visits,"American Indian or Alaska Native, single race",999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"Asian, single race",3.4,"2.0 ,5.3","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"Native Hawaiian or Other Pacific Islander, single race",999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,Black or African American and White,7.9,"4.3 ,13.1","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,American Indian or Alaska Native and White,999,,"Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,Hispanic or Latino,9.1,"7.6 ,10.8","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,Not Hispanic or Latino,5.9,"5.2 ,6.6","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,Mexican or Mexican American,8.2,"6.2 ,10.5","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"Not Hispanic or Latino, White, single race",5.1,"4.3 ,5.9","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"Not Hispanic or Latino, Black or African American, single race",9.6,"7.5 ,12.2","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
Two or more hospital emergency department visits,"Other, non-Hispanic",5.1,"3.7 ,6.9","Percentage of two or more hospital emergency department visits in the past 12 months for children under age 18 years (95% confidence intervals), United States","Based on the question, ""During the past 12 months, how many times has [child's name] gone to a hospital emergency room about [his/her] health? (This includes emergency room visits that resulted in a hospital admission.)""",2019
